;;Categorical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Numerical;Numerical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Numero_De_Inventario;Cava;Especie;Id del Centro;Longevidad;Ultimo Monitoreo
BGVCOL15060097;171840;4.3;13;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060100;171840;8.78;15;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060100;171820;1.62;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060101;171840;1.35;15;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060101;171840;3.74;5;2;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060101;171840;72;5;3;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060101;171820;0.36;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060102;171840;3.98;15;2;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060102;171840;2.99;5;2;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060102;171820;33;15;2;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060110;171840;0.87;15;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060110;171840;9.63;5;2;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060110;171840;5.48;5;3;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060110;171820;5.79;15;3;3;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060112;171840;6.61;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060112;171840;3;5;1;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060114;171840;7.17;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060114;171840;8.93;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060117;171840;5.36;5;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060117;171840;4.61;5;1;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060120;171840;3.56;5;2;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060120;171840;0.61;5;2;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060120;171840;1.14;5;3;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060120;171820;6.97;5;2;3;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060121;171840;5.74;5;1;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060121;171840;1.73;5;2;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060121;171840;9.15;5;3;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060121;171820;9.17;5;1;3;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060122;171840;5.69;15;3;2;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060122;171840;9.72;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060122;171840;1.13;5;1;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060122;171820;7.14;15;3;2;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060133;171840;9.17;15;2;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060133;171840;3.68;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060133;171840;1.82;5;3;2;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060133;171820;4.68;15;2;3;1;-20°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060138;171840;5.86;5;3;3;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060142;171840;8.67;15;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060142;171840;6.64;5;3;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060160;171840;1.44;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
