;;Categorical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Numerical;Numerical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Numero_De_Inventario;Cava;Especie;Id del Centro;Longevidad;Ultimo Monitoreo
BGVCOL71900064;201640;7.74;13;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900060;201610;0.98;4;3;1;0;0;Solanum sp.;0;0;1
BGVCOL71900109;201610;8.21;4;1;1;0;0;Solanum sp.;0;0;1
BGVCOL71900110;201610;6.68;4;1;1;0;0;Solanum sp.;0;0;1
BGVCOL71900111;201610;1.53;4;1;1;0;0;Solanum sp.;0;0;1
BGVCOL71900112;201610;72;4;1;1;0;0;Solanum sp.;0;0;1
BGVCOL71900113;201610;9.82;4;1;1;0;0;Solanum sp.;0;0;1
BGVCOL71900114;201610;9.22;4;1;1;0;0;Solanum sp.;0;0;1
BGVCOL71900115;201640;6.28;13;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900115;201640;2.87;13;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900116;201640;8.74;13;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900116;201640;57;13;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900117;201640;1.72;13;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900117;201640;5.77;13;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900101;201640;3.18;15;3;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900101;201640;8.23;15;3;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900179;201610;4.64;4;1;1;0;0;Solanum sp.;0;0;1
BGVCOL71900184;201640;87;5;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900185;201640;4.31;5;2;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900186;201640;95;5;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900186;201640;6.51;5;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900187;201640;6.91;5;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900190;201640;6.66;5;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900190;201640;3.53;5;2;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900190;201620;9.94;5;3;3;2;-20°C B-1;Solanum sp.;0;0;1
BGVCOL71900190;201640;16;15;2;3;3;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900192;201640;9.31;15;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900192;201640;7.15;15;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900182;201640;3.24;8;1;1;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900207;201640;5.53;5;1;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL71900207;201640;4.47;5;3;3;1;0°C B-1;Solanum sp.;0;0;1
BGVCOL15060002;171640;2.46;15;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060002;171640;9.86;3;3;1;2;0°C B-2;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060003;171640;1.44;13;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060003;171640;2.74;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060029;171640;2.37;1;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060029;171640;0.59;1;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060030;171640;39;5;1;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060030;171640;1.65;5;1;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060031;171640;4.59;2;2;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060031;171640;6.51;2;1;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060033;171640;7.75;5;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060033;171640;2.54;5;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060034;171640;8.29;13;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060034;171640;82;13;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060035;171640;5.63;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060035;171640;2.63;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060036;171640;6.39;1;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060036;171640;13;1;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060037;171640;0.23;2;3;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060037;171640;2.85;2;1;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060047;171640;1.4;1;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060047;171640;0.56;1;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060048;171640;1.89;13;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060048;171640;3.66;13;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060048;171640;3.34;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060049;171640;77;5;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060049;171640;6.3;5;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060051;171640;8.47;13;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060051;171640;1.89;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060052;171640;5.9;15;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060052;171640;6.55;15;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060053;171640;51;15;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060053;171640;6.33;15;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060059;171640;4.27;5;1;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060059;171640;2.98;5;1;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060060;171640;3.33;13;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060060;171640;2.76;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060060;171640;1.98;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060061;171640;2.96;15;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060061;171640;1.43;15;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060062;171640;4.35;5;2;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060062;171640;0.9;5;1;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060065;171640;2.41;5;1;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060065;171640;1.16;5;2;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060071;171640;1.23;13;2;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060071;171640;6.59;13;1;3;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060073;171640;3.92;5;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060074;171640;5.53;13;2;1;2;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060075;171640;0.67;5;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060076;171640;9.66;5;2;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060077;171640;3.48;5;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060089;171640;6.94;5;1;2;2;0°C B-1;Solanum phureja subsp. phureja;0;1;1
BGVCOL15060091;171640;5.3;13;3;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060095;171640;3.43;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060098;171640;4.59;2;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060099;171640;8.99;5;1;2;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060108;171640;1.85;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060115;171640;41;5;2;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060139;171640;9.64;13;1;1;1;0°C B-1;Solanum phureja subsp. phureja;0;0;1
BGVCOL15060088;171140;1.83;13;1;1;1;0°C B-1;Solanum  colombianum;0;0;1
BGVCOL15060132;171240;0.62;13;1;1;1;0°C B-1;Solanum  curtilobum;0;0;1
BGVCOL15060134;171040;4.35;5;3;2;1;0°C B-1;Solanum  antipoviczii;0;0;1
BGVCOL15060140;171340;5.44;13;1;1;1;0°C B-1;Solanum  malinchense;0;0;1
BGVCOL72600015;141130;7.21;15;1;3;1;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600015;141130;0.28;15;3;3;1;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600015;141130;2.97;15;1;3;1;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600015;141130;2.13;15;3;3;1;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600015;141130;7.3;15;1;3;1;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600015;141130;2.97;15;3;3;1;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600015;141130;8.59;15;1;3;1;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600015;141130;4.34;15;3;3;1;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600016;141130;4.11;15;1;3;65;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600016;141130;4.39;15;3;3;65;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600016;141130;5.62;15;1;3;65;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600016;141130;1.44;15;3;3;65;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600016;141130;3.47;15;1;3;66;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600016;141130;7.13;15;3;3;66;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600016;141130;4.16;15;1;3;66;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600016;141130;1.2;15;3;3;66;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600016;141130;4.94;15;1;3;67;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600016;141130;7.47;15;3;3;67;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600016;141130;9.78;15;1;3;67;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600016;141130;6.38;15;3;3;67;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600017;141130;5.86;15;1;3;59;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600017;141130;5.98;15;3;3;59;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600017;141130;76;15;2;3;59;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600017;141130;4.16;15;3;3;59;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600017;141130;7.54;15;1;3;60;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600017;141130;0.43;15;3;3;60;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600017;141130;6.64;15;2;3;60;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600017;141130;4.21;15;3;3;60;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600018;141130;6.47;15;1;3;74;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600018;141130;26;15;2;3;74;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600018;141130;8.45;15;1;3;74;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600018;141130;3.4;15;3;3;74;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600019;141130;34;15;1;3;61;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600019;141130;9.32;15;2;3;61;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600019;141130;3;15;1;3;61;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600019;141130;3.79;15;3;3;61;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600020;141130;99;15;2;3;55;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600020;141130;5.26;15;1;3;55;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600020;141130;6.7;15;3;3;55;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600020;141130;44;15;2;3;56;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600020;141130;6.88;15;1;3;56;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600020;141130;3.55;15;3;3;56;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600020;141130;4.27;15;2;3;57;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600020;141130;0.22;15;1;3;57;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600020;141130;5.39;15;3;3;57;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600020;141130;5.32;15;2;3;58;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600020;141130;8.13;15;1;3;58;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600020;141130;3.84;15;3;3;58;-10 ºC B4;Rubus glaucus;0;0;2
BGVCOL72600021;141130;6.73;15;1;3;83;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600021;141130;99;15;3;3;83;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600021;141130;1.84;15;1;3;83;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600021;141130;3.73;15;1;3;83;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600021;141130;7.44;15;1;3;84;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600021;141130;9.56;15;3;3;84;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600021;141130;4.55;15;1;3;84;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600021;141130;0.96;15;1;3;84;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600021;141130;3.75;15;1;3;85;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600021;141130;6.7;15;3;3;85;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600021;141130;7.14;15;1;3;85;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600021;141130;0.97;15;1;3;85;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600022;141130;7.76;15;1;3;86;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600022;141130;2.91;15;3;3;86;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600022;141130;2;15;2;3;86;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600022;141130;1.33;15;2;3;86;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600022;141130;3.48;15;1;3;87;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600022;141130;1.4;15;3;3;87;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600022;141130;4.84;15;2;3;87;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600022;141130;5.92;15;2;3;87;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600022;141130;0.47;15;1;3;88;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600022;141130;7.75;15;3;3;88;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600022;141130;6.52;15;2;3;88;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600022;141130;3.85;15;2;3;88;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600023;141130;5.4;15;1;3;91;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600023;141130;2.53;15;3;3;91;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600023;141130;6.86;15;1;3;91;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600023;141130;3.9;15;1;3;91;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600023;141130;7.76;15;1;3;92;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600023;141130;27;15;3;3;92;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600023;141130;8.8;15;1;3;92;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600023;141130;9.51;15;1;3;92;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600024;141130;38;15;1;3;69;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600024;141130;4.18;15;3;3;69;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600024;141130;4.12;15;2;3;69;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600024;141130;1.42;15;3;3;69;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600024;141130;6.41;15;1;3;70;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600024;141130;24;15;3;3;70;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600024;141130;9.51;15;2;3;70;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600024;141130;4.18;15;3;3;70;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600024;141130;8.51;15;1;3;71;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600024;141130;1.33;15;3;3;71;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600024;141130;1.78;15;2;3;71;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600024;141130;6.12;15;3;3;71;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600024;141130;9.11;15;1;3;72;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600024;141130;8.96;15;3;3;72;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600024;141130;0.18;15;2;3;72;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600024;141130;5.77;15;3;3;72;-10 ºC B4;Rubus glaucus;0;0;2
BGVCOL72600025;141130;43;15;1;3;96;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600025;141130;5.57;15;3;3;96;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600025;141130;0.89;15;1;3;96;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600025;141130;2.64;15;2;3;96;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600025;141130;4.17;15;1;3;97;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600025;141130;8.56;15;3;3;97;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600025;141130;6.12;15;1;3;97;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600025;141130;2.79;15;2;3;97;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600025;141130;1.5;15;1;3;98;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600025;141130;8.48;15;3;3;98;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600025;141130;3.78;15;1;3;98;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600025;141130;0.84;15;2;3;98;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600025;141130;4.77;15;1;3;99;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600025;141130;8.89;15;3;3;99;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600025;141130;5.32;15;1;3;99;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600025;141130;2.88;15;2;3;99;-10 ºC B4;Rubus glaucus;0;0;2
BGVCOL72600026;141130;2.89;15;1;3;75;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600026;141130;3.23;15;3;3;75;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600026;141130;0.39;15;1;3;75;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600026;141130;9.8;15;3;3;75;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600026;141130;7.23;15;1;3;76;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600026;141130;1.43;15;3;3;76;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600026;141130;5.18;15;1;3;76;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600026;141130;6.48;15;3;3;76;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600026;141130;7.87;15;1;3;77;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600026;141130;9.84;15;3;3;77;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600026;141130;5.19;15;1;3;77;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600026;141130;4.41;15;3;3;77;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600026;141130;9.1;15;1;3;78;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600026;141130;1.48;15;3;3;78;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600026;141130;9.28;15;1;3;78;-10 ºC B4;Rubus glaucus;0;0;1
BGVCOL72600026;141130;4.45;15;3;3;78;-10 ºC B4;Rubus glaucus;0;0;2
BGVCOL72600027;141130;1.11;15;1;3;89;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600027;141130;0.74;15;2;3;89;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600027;141130;1.24;15;1;3;89;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600027;141130;8.26;15;1;3;89;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600027;141130;5.74;15;1;3;90;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600027;141130;0.5;15;2;3;90;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600027;141130;5.61;15;1;3;90;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600027;141130;7.79;15;1;3;90;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600028;141130;9.62;15;1;3;51;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600028;141130;3.66;15;3;3;51;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600028;141130;7.41;15;1;3;51;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600028;141130;6.43;15;1;3;51;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600028;141130;6.59;15;1;3;52;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600028;141130;4.43;15;3;3;52;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600028;141130;6.76;15;1;3;52;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600028;141130;6.41;15;1;3;52;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600029;141130;5.15;15;1;3;93;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600029;141130;1.68;15;3;3;93;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600029;141130;8.75;15;2;3;93;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600029;141130;5.16;15;1;3;93;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600029;141130;4.62;15;1;3;94;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600029;141130;8.21;15;3;3;94;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600029;141130;7.22;15;2;3;94;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600029;141130;0.33;15;1;3;94;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600030;141130;4.81;15;1;3;62;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600030;141130;2.75;15;3;3;62;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600030;141130;1.5;15;1;3;62;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600030;141130;6.37;15;1;3;62;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600030;141130;2.67;15;1;3;63;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600030;141130;7.77;15;3;3;63;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600030;141130;7.12;15;1;3;63;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600030;141130;7.24;15;1;3;63;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600030;141130;2.88;15;1;3;64;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600030;141130;6.49;15;3;3;64;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600030;141130;8.32;15;1;3;64;-10 ºC B3;Rubus glaucus;0;0;1
BGVCOL72600030;141130;3.56;15;1;3;64;-10 ºC B3;Rubus glaucus;0;0;2
BGVCOL72600031;141130;4.56;15;1;3;95;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600031;141130;7.99;15;3;3;95;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600031;141130;5.57;15;1;3;95;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600031;141130;0.99;15;2;3;95;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600032;141130;9.57;15;3;3;53;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600032;141130;0.22;15;1;3;53;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600032;141130;1.34;15;1;3;53;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600032;141130;63;15;1;3;53;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600032;141130;1.15;15;1;2;54;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600032;141130;7.44;15;3;2;54;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600032;141130;9.91;15;1;2;54;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600032;141130;7.13;15;1;2;54;-10 ºC B2;Rubus glaucus;0;0;2
BGVCOL72600033;141130;6.95;15;1;3;79;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600033;141130;1.44;15;3;3;79;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600033;141130;22;15;1;3;79;-10 ºC B1;Rubus glaucus;0;0;1
BGVCOL72600033;141130;0.32;15;1;3;79;-10 ºC B1;Rubus glaucus;0;0;2
BGVCOL72600033;141130;9.93;15;1;3;80;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600033;141130;7.19;15;3;3;80;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600033;141130;7.55;15;1;3;80;-10 ºC B2;Rubus glaucus;0;0;1
BGVCOL72600033;141130;3.41;15;1;3;80;-10 ºC B2;Rubus glaucus;0;0;2
