CNR;ParentCNR;Cat;Count;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Longevidad;Ultimo Monitoreo;Estado de Disponibilidad.NA;Germinacion.NA;Cantidad de Semillas.NA;Longevidad.NA;Ultimo Monitoreo.NA
171640;1716;4GC;59;8.34;1.71;1.42;0.02;1;0;0;0;0;0
1717;17;Solanum sp;18;5;3;2.44;0;1;0;0;0;0;0
171720;1717;M20GC;8;5;3;2;0;1;0;0;0;0;0
171740;1717;4GC;10;5;3;2.8;0;1;0;0;0;0;0
1718;17;Solanum tuberosum subsp. andigena;2008;8.47;2.38;1.76;1.08;1;0;0;0;0;0
171820;1718;M20GC;373;11.35;2.79;2.07;1.45;1;0;0;0;0;0
171840;1718;4GC;1635;7.81;2.28;1.69;0.99;1;0;0;0;0;0
1719;17;Solanum tuberosum subsp. tuberosum;47;11.43;2.49;1.26;0.19;1;0;0;0;0;0
171920;1719;M20GC;4;13.25;2.75;2;1;1;0;0;0;0;0
171940;1719;4GC;43;11.26;2.47;1.19;0.12;1;0;0;0;0;0
19;Vegetables and melons;Lulo;324;9.79;2.06;1.44;0;1;0;0;0;0;0
1910;19;Solanum  capsicoides;3;11.67;3;3;0;1;0;0;0;0;0
191020;1910;M20GC;1;5;3;3;0;1;0;0;0;0;0
1911;19;Solanum  hirtum;4;6.25;2;1.5;0;1;0;0;0;0;0
191110;1911;Cava Desconocida;1;4;1;1;0;1;0;0;0;0;0
191140;1911;4GC;3;7;2.33;1.67;0;1;0;0;0;0;0
1912;19;Solanum  jamaicense;5;12;1.8;1;0;1;0;0;0;0;0
191210;1912;Cava Desconocida;1;4;1;1;0;1;0;0;0;0;0
191240;1912;4GC;4;14;2;1;0;1;0;0;0;0;0
1913;19;Solanum  macracanthum;1;4;1;1;0;1;0;0;0;0;0
191310;1913;Cava Desconocida;1;4;1;1;0;1;0;0;0;0;0
1914;19;Solanum  mammosum;6;10.5;2.17;1.83;0;1;0;0;0;0;0
191420;1914;M20GC;1;8;2;3;0;1;0;0;0;0;0
191440;1914;4GC;5;11;2.2;1.6;0;1;0;0;0;0;0
1915;19;Solanum  marginatum;2;2;1;2;0;1;0;0;0;0;0
191540;1915;4GC;2;2;1;2;0;1;0;0;0;0;0
1916;19;Solanum  pectinatum;2;15;2.5;1;0;1;0;0;0;0;0
191640;1916;4GC;2;15;2.5;1;0;1;0;0;0;0;0
1917;19;Solanum  pseudolulo;31;8.55;2.65;2.35;0;1;0;0;0;0;0
191720;1917;M20GC;5;5;3;3;0;1;0;0;0;0;0
191740;1917;4GC;26;9.23;2.58;2.23;0;1;0;0;0;0;0
1918;19;Solanum  quitoense;245;9.94;2.02;1.36;0;1;0;0;0;0;0
