;;Numerical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Numero de Inventario;Sufijo de Inventario;Species;ID Centro ;Fecha de entrada a cava;Fecha de ultima prueba
BGVCOL11030007;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030008;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030008;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030009;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030009;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030010;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030010;1001112;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030011;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030011;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030012;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030012;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030013;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030013;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030014;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030014;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
