ParentCat;Cat
Leguminous crops ;Soya
Cereals;Cebada
Cereals;Arroz
Fruits and nuts;Passifloras
Fruits and nuts;Mora
Root/tuber crops with high starch or inulin conten;Papa
Vegetables and melons;Lulo
Vegetables and melons;Tomate de mesa
Vegetables and melons;Berenjena
Cereals;Sorgo
Cereals;Maiz 
