;;Numerical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical
ARN;PATH;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Numero de Inventario;Sufijo de Inventario;Species;ID Centro ;Fecha de entrada a cava;Fecha de ultima prueba
BGVCOL11030027;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030028;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030028;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030029;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030029;1001010102;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030030;1001030101;5;8;1.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030030;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030031;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030031;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030032;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030032;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030033;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030033;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030034;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030034;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030035;1001030101;5;7;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030035;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030036;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030036;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030037;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030037;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030038;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030038;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030039;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030039;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030040;1001030101;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030040;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030041;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030041;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030042;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030042;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030043;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030043;1001010102;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030044;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030044;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030045;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030045;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030046;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030046;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030047;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030047;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030048;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;29/10/2004 0:00
BGVCOL11030048;1001030101;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030048;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030049;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030049;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030050;1001030102;5;7;1.0;2;;0°C B-1;Glycine max;45;0.0;1/01/2004 0:00
BGVCOL11030050;1001030102;5;7;1.0;2;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030050;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030051;1001030101;5;4;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030051;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030052;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030052;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030053;1001030101;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030053;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030054;1001030101;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030054;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030055;1001030101;5;4;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030056;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030056;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030057;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;1/10/2004 0:00
BGVCOL11030057;1001030101;5;4;1.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030057;1001010102;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030058;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030058;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030059;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030059;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030060;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030060;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030061;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030061;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030062;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030062;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030063;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;4/04/2014 0:00
BGVCOL11030063;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030064;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030064;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030065;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030065;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030066;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030066;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030067;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;4/04/2014 0:00
BGVCOL11030067;1001030101;5;7;2.0;1;;0°C B-1;Glycine max;45;0.0;1/05/2001 0:00
BGVCOL11030067;1001010102;5;7;1.0;2;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030068;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030068;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030069;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030069;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030070;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030070;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030071;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030071;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030072;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030072;1001010102;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030073;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;12/02/2005 0:00
BGVCOL11030073;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030073;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;12/02/2002 0:00
BGVCOL11030074;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030074;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030075;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030075;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030076;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030076;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030077;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;20/02/2007 0:00
BGVCOL11030077;1001030101;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030077;1001010102;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;29/10/2004 0:00
BGVCOL11030078;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030078;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030079;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030079;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030080;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030080;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030081;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030081;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030082;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030082;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030082;1001010102;5;1;2.0;2;;-20°C B-1;Glycine max;45;0.0;26/04/2006 0:00
BGVCOL11030083;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
