CNR;ParentCNR;Cat;Count;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Use/yr.NA;Estado de disponibilidad.NA;Clases de gerninacion.NA;Cantida De Semillas.NA
1409;14;Solanum  quitoense;245;2.53;4.68;2.02;1.36;0;0;0;0
140900;1409;Cava Desconocida;41;2.12;12;1.24;1;0;0;0;0
14090001;140900;Ortodoxas;41;2.12;12;1.24;1;0;0;0;0
1409000101;14090001;Bajo;41;2.12;12;1.24;1;0;0;0;0
140901;1409;M20GC;8;2.25;3;2.62;2.5;0;0;0;0
14090101;140901;Ortodoxas;8;2.25;3;2.62;2.5;0;0;0;0
1409010103;14090101;Alto;8;2.25;3;2.62;2.5;0;0;0;0
140903;1409;4GC;196;2.62;3.21;2.16;1.38;0;0;0;0
14090301;140903;Ortodoxas;196;2.62;3.21;2.16;1.38;0;0;0;0
1409030101;14090301;Bajo;154;2.66;3.15;2.14;1.06;0;0;0;0
1409030102;14090301;Medio;13;2.38;4.69;1.92;2;0;0;0;0
1409030103;14090301;Alto;29;2.52;2.9;2.38;2.79;0;0;0;0
1411;14;Solanum  sessiliflorum;21;2.71;4.19;1.9;1;0;0;0;0
141100;1411;Cava Desconocida;21;2.71;4.19;1.9;1;0;0;0;0
14110001;141100;Ortodoxas;21;2.71;4.19;1.9;1;0;0;0;0
1411000101;14110001;Bajo;21;2.71;4.19;1.9;1;0;0;0;0
1412;14;Solanum sp.;37;2.73;4.92;2;1.78;0;0;0;0
141200;1412;Cava Desconocida;10;2.6;12;1.4;1;0;0;0;0
14120001;141200;Ortodoxas;10;2.6;12;1.4;1;0;0;0;0
1412000101;14120001;Bajo;10;2.6;12;1.4;1;0;0;0;0
141203;1412;4GC;27;2.78;2.3;2.22;2.07;0;0;0;0
14120301;141203;Ortodoxas;27;2.78;2.3;2.22;2.07;0;0;0;0
1412030101;14120301;Bajo;11;3;3.91;1.55;1;0;0;0;0
1412030102;14120301;Medio;3;1;1;3;2;0;0;0;0
1412030103;14120301;Alto;13;3;1.23;2.62;3;0;0;0;0
21;Vegetables and melons;Tomate de mesa;349;4.01;1.63;2.76;2.19;0;0;0;0
2101;21;Solanum habrochaites;44;6.09;1;2.95;2.43;0;0;0;0
210101;2101;M20GC;22;6.09;1;2.95;2.55;0;0;0;0
21010101;210101;Ortodoxas;22;6.09;1;2.95;2.55;0;0;0;0
2101010102;21010101;Medio;15;5.67;1;3;2.33;0;0;0;0
2101010103;21010101;Alto;7;7;1;2.86;3;0;0;0;0
210103;2101;4GC;22;6.09;1;2.95;2.32;0;0;0;0
21010301;210103;Ortodoxas;22;6.09;1;2.95;2.32;0;0;0;0
2101030102;21010301;Medio;10;7;1;3;2;0;0;0;0
