,Accession_id,Inventory_id,ARN,Especie,Cantidad_De_Semilla,Estado_De_Disponibilidad,Numero_De_Inventario,Cava,Fecha_De_Origen,Fecha_ultima_Prueba,Porcentaje_Normal,Fecha_De_Entrada_Cava
5931,8035,41357,BGVCOL11030835,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5932,8035,41358,BGVCOL11030835,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5933,8036,41359,BGVCOL11030836,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
5934,8036,41360,BGVCOL11030836,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
5935,8037,41361,BGVCOL11030837,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5936,8037,41362,BGVCOL11030837,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5937,8038,41363,BGVCOL11030838,Glycine max,2,8,1.0,0°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,2.0,0.0
5938,8038,41363,BGVCOL11030838,Glycine max,2,8,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
5939,8038,41365,BGVCOL11030838,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5940,8039,41366,BGVCOL11030839,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5941,8039,41367,BGVCOL11030839,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5942,8040,41368,BGVCOL11030840,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5943,8040,41369,BGVCOL11030840,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5944,8041,41370,BGVCOL11030841,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5945,8041,41371,BGVCOL11030841,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5946,8042,41372,BGVCOL11030842,Glycine max,2,5,1.0,0°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5947,8042,41372,BGVCOL11030842,Glycine max,2,5,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5948,8042,41374,BGVCOL11030842,Glycine max,1,7,2.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5949,8042,41375,BGVCOL11030842,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5950,8044,41376,BGVCOL11030844,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5951,8044,41377,BGVCOL11030844,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5952,8045,41378,BGVCOL11030845,Glycine max,1,5,1.0,0°C B-1,1998-03-01 00:00:00,2006-12-21 00:00:00,3.0,0.0
